ActicityInstID                	撤销到该活动实例ID
ActivityID                    	活动ID
ActivityInsID                 	活动实例ID
ActivityInstID                	活动实例ID
ActualInstallDate             	实际安装完成时间
ActualPauseDate               	实际暂停时间
AllArea                       	工程总面积（平方米）
AppID                         	appid
ApplicationID                 	应用ID
ApproveStatus                 	审批状态
AssistType                    	辅助人员类型
BaseURL                       	视频查看地址
BuildScale                    	建设规模
BussIF                        	业务实现接口
BussLicCode                   	工商营业执照注册号
ButtonID                      	按钮ID
ButtonName                    	按钮名称
ButtonType                    	按钮类型
CertCode                      	证件号码
CertType                      	证件类型
CheckNum                      	验证码（登录密码与验证码二选一）
CtrlDestType                  	控制目标类型
CtrlDestValue                 	控制目标值
CtrlObjType                   	控制对象类型
CtrlObjValue                  	控制对象值
CtrlOperation                 	控制操作
DBPID                         	流程定义主键
DeclareRemark                 	申报备注
DestUserID                    	被授权角色的用户ID
DevIDs                        	设备主键列表,半角逗号间隔
Draft                         	是否保存草稿
Duty                          	职务
Email                         	电子邮箱
EstablishDate                 	成立日期
FileUrl                       	监管系统上传文件url
FirstAllowQCDate              	首次批准资质资格日期
FormData                      	表单定义数据
FormID                        	表单ID
FormName                      	表单名称
FromAppID                     	最后一次更新的来源appid
ID                            	主键ID
IDCode                        	证件号码
IDListValid                   	业务属性是否返回
IDType                        	证件类型
InstallRemark                 	安装备注
IsLeaf                        	是否叶子：0：否1：是
IsLock                        	是否锁定
IsMainQC                      	是否主项资质
IsPass                        	0：审核不通过1：审核通过
IsSaveHis                     	是否保存历史
IsVisible                     	是否可见0：不可见1：可见
IssuingAuthority              	发证机关
IssuingDate                   	发证日期
ItemID                        	单位工程ID
LPCode                        	法定代表人证件号码
LPCodeType                    	法定代表人证件类型
LPName                        	法定代表人姓名
MaintainRemark                	报修备注
MenuBtnID                     	菜单关联按钮ID
MenuID                        	菜单ID
MenuName                      	菜单名称
MenuOrder                     	菜单展示顺序
MenuUrl                       	菜单URL
Name                          	姓名
OPJobTitle                    	企业负责人职称
OPName                        	企业负责人姓名
OPPosition                    	企业负责人职务
OfficePhone                   	办公电话
Operation                     	1：分配角色2：取消角色3：授权角色4：取消授权
OperatorFileUrl               	运营商返回文件url
OrgAddress                    	机构地址
OrgCode                       	机构代码（统一社会信用代码）
OrgID                         	机构UUID
OrgName                       	机构名称
OrgOfficePhone                	办公电话
OrgProvince                   	省
OrgRegType                    	企业登记注册类型
OrgType                       	机构类型
PTelPhone                     	项目负责人电话
Params                        	Json参数列表
Password                      	登录密码（MD5加密）
PauseRemark                   	暂停备注
PersonID                      	人员信息UUID
PhoneNum                      	手机号码
Principal                     	项目负责人
ProID                         	项目主键
ProMngIDCode                  	项目经理证件号码
ProMngName                    	项目经理姓名
ProMngPhone                   	项目经理联系电话
ProcessID                     	ACTIVITY流程ID
ProcessInsID                  	流程实例ID
ProcessInstID                 	流程主键UUID
ProcessName                   	流程名称
QCCFCode                      	证书编号
QCCFStatus                    	证书状态
QCCFType                      	资质资格类型
QCSubType                     	资质资格序列
QCType                        	资质资格类型
RMBID                         	责任主体主键
RealName                      	姓名
Reason                        	退回理由
RegCertCode                   	注册证书编号
RegCode                       	项目施工负责人（项目经理）执业资格证书号
RegLevel                      	注册等级
RegSealCode                   	注册印章号
RegType                       	注册类型
RegValidDate                  	注册有效期
RemoveRemark                  	拆除备注
RoleID                        	角色ID
